condition,seed,probe,target,message,correct
baseline,101,bare_label_partner,S1,Bird on a long stick,True
baseline,101,bare_label_partner,S2,Wide block with a long thin arm,True
baseline,101,bare_label_partner,S3,Hourglass figure,True
baseline,101,bare_label_partner,S4,Tree with a small top,True
baseline,101,bare_label_partner,S5,Pillar with a wide base and top branches,True
baseline,101,bare_label_partner,S6,"Vertical line with a wide middle and a diagonal, hooked tail",True
baseline,101,bare_label_partner,S7,Vertical line with a wide base and split feet,True
baseline,101,bare_label_partner,S8,Mushroom cloud,True
baseline,101,negation_partner,S5,"It is the one that is NEITHER Mushroom cloud NOR Vertical line with a wide middle and a diagonal, hooked tail.",True
baseline,101,negation_partner,S3,It is the one that is NEITHER Bird on a long stick NOR Vertical line with a wide base and split feet.,True
baseline,101,negation_partner,S3,It is the one that is NEITHER Tree with a small top NOR Vertical line with a wide base and split feet.,True
baseline,101,negation_partner,S2,"It is the one that is NEITHER Mushroom cloud NOR Vertical line with a wide middle and a diagonal, hooked tail.",True
baseline,101,bare_label_fresh,S1,Bird on a long stick,False
baseline,101,bare_label_fresh,S2,Wide block with a long thin arm,True
baseline,101,bare_label_fresh,S3,Hourglass figure,True
baseline,101,bare_label_fresh,S4,Tree with a small top,False
baseline,101,bare_label_fresh,S5,Pillar with a wide base and top branches,False
baseline,101,bare_label_fresh,S6,"Vertical line with a wide middle and a diagonal, hooked tail",True
baseline,101,bare_label_fresh,S7,Vertical line with a wide base and split feet,False
baseline,101,bare_label_fresh,S8,Mushroom cloud,True
baseline,102,bare_label_partner,S1,"Tall, slender, vertical stem with a small diagonal cluster at the top",True
baseline,102,bare_label_partner,S2,"Long horizontal bar at the top, with a long, thin leg extending down from the right side",True
baseline,102,bare_label_partner,S3,"Horizontal bar in the middle, with a small peak above and a scattered, descending tail below",True
baseline,102,bare_label_partner,S4,"Tall, slender shape with an angled, wider top and a long, straight handle",True
baseline,102,bare_label_partner,S5,"Left-heavy, jagged shape with a wide base and a gap on the left side",True
baseline,102,bare_label_partner,S6,"Tall, thin, central column with a wider middle and a branching, scattered bottom",True
baseline,102,bare_label_partner,S7,"Left-aligned column with a wide, gapped base",True
baseline,102,bare_label_partner,S8,"Compact, centered, diamond-like shape with a single dot at the top and a small base",True
