condition,seed,round,trial,target,n_words,n_chars,correct,phase,description,audit
baseline,101,1,1,S6,5,27,False,pre_swap,Slanted ladder with a tail.,
baseline,101,1,2,S1,5,21,False,pre_swap,Bird on a long stick.,
baseline,101,1,3,S5,4,19,True,pre_swap,Pillar with a base.,
baseline,101,1,4,S7,10,47,False,pre_swap,Tall 'L' shape with a diagonal line and a base.,
baseline,101,1,5,S2,7,32,True,pre_swap,Wide block with a long thin arm.,
baseline,101,1,6,S8,2,15,True,pre_swap,Mushroom cloud.,
baseline,101,1,7,S3,2,17,True,pre_swap,Hourglass figure.,
baseline,101,1,8,S4,5,22,True,pre_swap,Tree with a small top.,
baseline,101,2,9,S6,7,41,True,pre_swap,Complex vertical line with a hooked tail.,
baseline,101,2,10,S1,5,23,True,pre_swap,Feather on a long stem.,
baseline,101,2,11,S5,8,41,True,pre_swap,Pillar with a wide base and top branches.,
baseline,101,2,12,S7,8,46,False,pre_swap,Vertical line with a base and diagonal points.,
baseline,101,2,13,S2,7,32,True,pre_swap,Wide block with a long thin arm.,
baseline,101,2,14,S3,5,29,True,pre_swap,Hourglass with a long bottom.,
baseline,101,2,15,S8,6,34,True,pre_swap,Mushroom cloud with a pointed top.,
baseline,101,2,16,S4,12,61,True,pre_swap,Tree with a small top and wider middle.Tree with a small top.,
baseline,101,3,17,S3,2,17,True,pre_swap,Hourglass figure.,
baseline,101,3,18,S8,2,15,True,pre_swap,Mushroom cloud.,
baseline,101,3,19,S1,5,21,True,pre_swap,Bird on a long stick.,
baseline,101,3,20,S6,7,41,True,pre_swap,Complex vertical line with a hooked tail.,
baseline,101,3,21,S2,7,32,True,pre_swap,Wide block with a long thin arm.,
baseline,101,3,22,S7,9,46,True,pre_swap,Vertical line with a wide base and split feet.,
baseline,101,3,23,S4,5,22,True,pre_swap,Tree with a small top.,
baseline,101,3,24,S5,8,41,True,pre_swap,Pillar with a wide base and top branches.,
baseline,101,4,25,S2,7,32,True,pre_swap,Wide block with a long thin arm.,
baseline,101,4,26,S5,8,41,True,pre_swap,Pillar with a wide base and top branches.,
baseline,101,4,27,S4,5,22,True,pre_swap,Tree with a small top.,
baseline,101,4,28,S7,9,46,True,pre_swap,Vertical line with a wide base and split feet.,
baseline,101,4,29,S1,5,21,True,pre_swap,Bird on a long stick.,
baseline,101,4,30,S3,2,17,True,pre_swap,Hourglass figure.,
baseline,101,4,31,S8,2,15,True,pre_swap,Mushroom cloud.,
baseline,101,4,32,S6,7,41,True,pre_swap,Complex vertical line with a hooked tail.,
baseline,101,5,33,S1,5,21,True,pre_swap,Bird on a long stick.,
baseline,101,5,34,S3,2,17,True,pre_swap,Hourglass figure.,
baseline,101,5,35,S7,9,46,True,pre_swap,Vertical line with a wide base and split feet.,
baseline,101,5,36,S2,7,32,True,pre_swap,Wide block with a long thin arm.,
baseline,101,5,37,S4,5,22,True,pre_swap,Tree with a small top.,
baseline,101,5,38,S5,8,41,True,pre_swap,Pillar with a wide base and top branches.,
baseline,101,5,39,S8,2,15,True,pre_swap,Mushroom cloud.,
baseline,101,5,40,S6,7,41,True,pre_swap,Complex vertical line with a hooked tail.,
baseline,101,6,41,S7,9,46,True,pre_swap,Vertical line with a wide base and split feet.,
baseline,101,6,42,S2,7,32,True,pre_swap,Wide block with a long thin arm.,
baseline,101,6,43,S3,2,17,True,pre_swap,Hourglass figure.,
baseline,101,6,44,S1,5,21,True,pre_swap,Bird on a long stick.,
baseline,101,6,45,S4,5,22,True,pre_swap,Tree with a small top.,
baseline,101,6,46,S8,2,15,True,pre_swap,Mushroom cloud.,
baseline,101,6,47,S5,8,41,True,pre_swap,Pillar with a wide base and top branches.,
baseline,101,6,48,S6,7,41,True,pre_swap,Complex vertical line with a hooked tail.,
baseline,101,7,49,S6,11,61,True,post_swap,"Vertical line with a wide middle and a diagonal, hooked tail.",
baseline,101,7,50,S2,7,32,True,post_swap,Wide block with a long thin arm.,
baseline,101,7,51,S5,8,41,True,post_swap,Pillar with a wide base and top branches.,
baseline,101,7,52,S1,5,21,True,post_swap,Bird on a long stick.,
baseline,101,7,53,S4,5,22,True,post_swap,Tree with a small top.,
baseline,101,7,54,S7,9,46,True,post_swap,Vertical line with a wide base and split feet.,
baseline,101,7,55,S8,2,15,True,post_swap,Mushroom cloud.,
baseline,101,7,56,S3,2,17,True,post_swap,Hourglass figure.,
baseline,101,8,57,S7,9,46,True,post_swap,Vertical line with a wide base and split feet.,
baseline,101,8,58,S5,8,41,True,post_swap,Pillar with a wide base and top branches.,
baseline,101,8,59,S1,5,21,True,post_swap,Bird on a long stick.,
baseline,101,8,60,S6,11,61,False,post_swap,"Vertical line with a wide middle and a diagonal, hooked tail.",
baseline,101,8,61,S2,7,32,False,post_swap,Wide block with a long thin arm.,
baseline,101,8,62,S4,5,22,True,post_swap,Tree with a small top.,
baseline,101,8,63,S8,2,15,False,post_swap,Mushroom cloud.,
baseline,101,8,64,S3,2,17,True,post_swap,Hourglass figure.,
baseline,102,1,1,S2,8,42,True,pre_swap,Long horizontal top with a long right leg.,
baseline,102,1,2,S6,7,44,True,pre_swap,Vertical stick figure with a branching tail.,
baseline,102,1,3,S8,8,53,True,pre_swap,"Compact centered shape, wider middle, single dot top.",
baseline,102,1,4,S1,5,29,True,pre_swap,Stem with small diagonal top.,
baseline,102,1,5,S4,4,24,False,pre_swap,"Long handle, angled top.",
baseline,102,1,6,S5,6,34,False,pre_swap,Left-heavy shape with a wide base.,
baseline,102,1,7,S3,11,64,True,pre_swap,Horizontal bar with a small peak above and scattered tail below.,
baseline,102,1,8,S7,8,41,True,pre_swap,"Left side column, wide bottom with a gap.",
baseline,102,2,9,S6,7,44,True,pre_swap,Vertical stick figure with a branching tail.,
baseline,102,2,10,S1,5,29,True,pre_swap,Stem with small diagonal top.,
baseline,102,2,11,S8,8,53,True,pre_swap,"Compact centered shape, wider middle, single dot top.",
baseline,102,2,12,S2,8,42,True,pre_swap,Long horizontal top with a long right leg.,
baseline,102,2,13,S4,4,24,False,pre_swap,"Long handle, angled top.",
baseline,102,2,14,S7,8,41,True,pre_swap,"Left side column, wide bottom with a gap.",
baseline,102,2,15,S5,10,55,True,pre_swap,Left-heavy shape with a wide base and jagged left edge.,
baseline,102,2,16,S3,11,64,True,pre_swap,Horizontal bar with a small peak above and scattered tail below.,
baseline,102,3,17,S1,5,29,True,pre_swap,Stem with small diagonal top.,
baseline,102,3,18,S5,16,75,True,pre_swap,Left-heavy shape with a wide bottom and a gap on the left side of the base.,
baseline,102,3,19,S3,11,64,True,pre_swap,Horizontal bar with a small peak above and scattered tail below.,
baseline,102,3,20,S7,8,41,True,pre_swap,"Left side column, wide bottom with a gap.",
